FileName,Color,Number,Frequency,Amplitude,Angle,Point,E,EI
'green1_35_A10_f1_00_trial016.h5',green,1,1,10,35,1,11534877.92,0.039007644
'green1_35_A10_f2_00_trial017.h5',green,1,2,10,35,1,13842586.6,0.046811652
'green1_35_A10_f3_00_trial018.h5',green,1,3,10,35,1,16361246.08,0.055329035
'green1_35_A10_f4_00_trial019.h5',green,1,4,10,35,1,19739408,0.066753009
'green1_35_A10_f5_00_trial020.h5',green,1,5,10,35,1,24427498.84,0.082606786
'green1_35_A2_f1_00_trial005.h5',green,1,1,2.5,35,1,13051658.31,0.04413696
'green1_35_A2_f2_00_trial004.h5',green,1,2,2.5,35,1,15691164.21,0.053063011
'green1_35_A2_f3_00_trial003.h5',green,1,3,2.5,35,1,18595627.95,0.062885073
'green1_35_A2_f4_00_trial002.h5',green,1,4,2.5,35,1,22550776.62,0.07626025
'green1_35_A2_f5_00_trial001.h5',green,1,5,2.5,35,1,27862022.31,0.094221358
'green1_35_A5_f1_00_trial006.h5',green,1,1,5,35,1,12309678.52,0.041627797
'green1_35_A5_f2_00_trial007.h5',green,1,2,5,35,1,14769814.01,0.049947269
'green1_35_A5_f3_00_trial008.h5',green,1,3,5,35,1,17646176.59,0.059674301
'green1_35_A5_f4_00_trial009.h5',green,1,4,5,35,1,21313102.12,0.07207479
'green1_35_A5_f5_00_trial010.h5',green,1,5,5,35,1,26570463.3,0.089853676
'green1_35_A8_f1_00_trial015.h5',green,1,1,7.5,35,1,11957876.47,0.040438104
'green1_35_A8_f2_00_trial014.h5',green,1,2,7.5,35,1,14244052.89,0.048169296
'green1_35_A8_f3_00_trial013.h5',green,1,3,7.5,35,1,16895086.65,0.057134331
'green1_35_A8_f4_00_trial012.h5',green,1,4,7.5,35,1,20460422.41,0.069191272
'green1_35_A8_f5_00_trial011.h5',green,1,5,7.5,35,1,25384456.67,0.085842942
'green2_35_A10_f1_00_trial020.h5',green,2,1,10,35,1,18539421.95,0.062695001
'green2_35_A10_f2_00_trial019.h5',green,2,2,10,35,1,21702559.94,0.073391825
'green2_35_A10_f3_00_trial018.h5',green,2,3,10,35,1,25267672.63,0.085448012
'green2_35_A10_f4_00_trial017.h5',green,2,4,10,35,1,29702518.39,0.100445387
'green2_35_A10_f5_00_trial016.h5',green,2,5,10,35,1,36045211.23,0.121894552
'green2_35_A2_f1_00_trial001.h5',green,2,1,2.5,35,1,21571054.16,0.07294711
'green2_35_A2_f2_00_trial002.h5',green,2,2,2.5,35,1,25732871.78,0.087021182
'green2_35_A2_f3_00_trial003.h5',green,2,3,2.499999507,35,1,21495651.79,0.072692121
'green2_35_A2_f4_00_trial004.h5',green,2,4,2.5,35,1,35908534.32,0.12143235
'green2_35_A2_f5_00_trial005.h5',green,2,5,2.5,35,1,43420545.18,0.146835814
'green2_35_A5_f1_00_trial010.h5',green,2,1,5,35,1,20272788.45,0.068556748
'green2_35_A5_f2_00_trial009.h5',green,2,2,5,35,1,23992202.93,0.08113474
'green2_35_A5_f3_00_trial008.h5',green,2,3,5,35,1,28022548.55,0.094764211
'green2_35_A5_f4_00_trial007.h5',green,2,4,5,35,1,33064856.17,0.111815847
'green2_35_A5_f5_00_trial006.h5',green,2,5,5,35,1,40276492.13,0.136203529
'green2_35_A8_f1_00_trial011.h5',green,2,1,7.5,35,1,19458135.44,0.065801826
'green2_35_A8_f2_00_trial012.h5',green,2,2,7.5,35,1,22898853.66,0.077437347
'green2_35_A8_f3_00_trial013.h5',green,2,3,7.5,35,1,26672324.03,0.09019814
'green2_35_A8_f4_00_trial014.h5',green,2,4,7.5,35,1,31493828.84,0.106503084
'green2_35_A8_f5_00_trial015.h5',green,2,5,7.5,35,1,38085527.21,0.128794315
'green3_35_A10_f1_00_trial020.h5',green,3,1,10,35,1,7713077.221,0.035509926
'green3_35_A10_f2_00_trial019.h5',green,3,2,10,35,1,9422797.58,0.043381239
'green3_35_A10_f3_00_trial018.h5',green,3,3,10,35,1,11347412.28,0.052241896
'green3_35_A10_f4_00_trial017.h5',green,3,4,10,35,1,13624405.79,0.062724855
'green3_35_A10_f5_00_trial016.h5',green,3,5,10,35,1,19149503.04,0.088161628
'green3_35_A2_f1_00_trial001.h5',green,3,1,2.5,35,1,8640251.508,0.039778507
'green3_35_A2_f2_00_trial002.h5',green,3,2,2.5,35,1,10821996.81,0.049822957
'green3_35_A2_f3_00_trial003.h5',green,3,3,2.5,35,1,13205937.47,0.060798285
'green3_35_A2_f4_00_trial004.h5',green,3,4,2.5,35,1,16016620.78,0.073738277
'green3_35_A2_f5_00_trial005.h5',green,3,5,2.5,35,1,19873140.12,0.091493152
'green3_35_A5_f1_00_trial010.h5',green,3,1,5,35,1,8088093.053,0.037236447
'green3_35_A5_f2_00_trial009.h5',green,3,2,5,35,1,9864307.509,0.045413889
'green3_35_A5_f3_00_trial008.h5',green,3,3,5,35,1,11929970.04,0.05492391
'green3_35_A5_f4_00_trial007.h5',green,3,4,5,35,1,14503465.23,0.066771921
'green3_35_A5_f5_00_trial006.h5',green,3,5,5,35,1,18170754.36,0.083655606
'green3_35_A8_f1_00_trial011.h5',green,3,1,7.5,35,1,7881069.122,0.036283338
'green3_35_A8_f2_00_trial012.h5',green,3,2,7.5,35,1,9701366.093,0.04466373
'green3_35_A8_f3_00_trial013.h5',green,3,3,7.5,35,1,11665755.51,0.053707503
'green3_35_A8_f4_00_trial014.h5',green,3,4,7.5,35,1,14149403.48,0.06514187
'green3_35_A8_f5_00_trial015.h5',green,3,5,7.5,35,1,17679894.99,0.081395759
'blue1_45_A10_f1_00_trial020.h5',blue,1,1,10,45,1,6871177.536,0.034241592
'blue1_45_A10_f2_00_trial019.h5',blue,1,2,10,45,1,8111863.25,0.040424383
'blue1_45_A10_f3_00_trial018.h5',blue,1,3,10,45,1,9785079.918,0.048762634
'blue1_45_A10_f4_00_trial017.h5',blue,1,4,10,45,1,12164092.31,0.060618123
'blue1_45_A10_f5_00_trial016.h5',blue,1,5,10,45,1,15635129.26,0.077915571
'blue1_45_A2_f1_00_trial001.h5',blue,1,1,2.5,45,1,7248141.083,0.036120139
'blue1_45_A2_f2_00_trial002.h5',blue,1,2,2.5,45,1,8597166.963,0.042842829
'blue1_45_A2_f3_00_trial003.h5',blue,1,3,2.5,45,1,10412130.6,0.051887457
'blue1_45_A2_f4_00_trial004.h5',blue,1,4,2.5,45,1,13088415.8,0.065224366
'blue1_45_A2_f5_00_trial005.h5',blue,1,5,2.5,45,1,16767458.45,0.083558382
'blue1_45_A5_f1_00_trial010.h5',blue,1,1,5,45,1,7142227.08,0.035592331
'blue1_45_A5_f2_00_trial009.h5',blue,1,2,5,45,1,8425978.927,0.041989736
'blue1_45_A5_f3_00_trial008.h5',blue,1,3,5,45,1,10140704.51,0.050534842
'blue1_45_A5_f4_00_trial007.h5',blue,1,4,5,45,1,12615099.72,0.062865658
'blue1_45_A5_f5_00_trial006.h5',blue,1,5,5,45,1,16203534.15,0.08074814
'blue1_45_A8_f1_00_trial011.h5',blue,1,1,7.5,45,1,6990873.5,0.034838081
'blue1_45_A8_f2_00_trial012.h5',blue,1,2,7.5,45,1,8251366.621,0.041119579
'blue1_45_A8_f3_00_trial013.h5',blue,1,3,7.5,45,1,9943767.705,0.049553433
'blue1_45_A8_f4_00_trial014.h5',blue,1,4,7.5,45,1,12368648.11,0.0616375
'blue1_45_A8_f5_00_trial015.h5',blue,1,5,7.5,45,1,15935868.1,0.079414262
'blue2_45_A10_f1_00_trial001.h5',blue,2,1,10,45,1,675987.3624,0.002921056
'blue2_45_A10_f2_00_trial002.h5',blue,2,2,10,45,1,1384735.818,0.005983679
'blue2_45_A10_f3_00_trial003.h5',blue,2,3,10,45,1,2480737.117,0.010719687
'blue2_45_A10_f4_00_trial004.h5',blue,2,4,10,45,1,4186588.335,0.01809096
'blue2_45_A10_f5_00_trial005.h5',blue,2,5,10,45,1,6843545.664,0.029572124
'blue2_45_A2_f1_00_trial020.h5',blue,2,1,2.5,45,1,468468.4294,0.002024332
'blue2_45_A2_f2_00_trial019.h5',blue,2,2,2.5,45,1,1190611.82,0.005144836
'blue2_45_A2_f3_00_trial018.h5',blue,2,3,2.5,45,1,2341872.025,0.010119627
